code,subject,domain,grade,description
6과01-01,과학,지층과 화석,5-6학년군,"지층의 특징을 알고, 지층의 형성 과정을 모형으로 표현할 수 있다."
6과01-02,과학,지층과 화석,5-6학년군,"지층이 퇴적암으로 이루어짐을 알고, 퇴적암을 알갱이의 크기에 따라 분류할 수 있다."
6과01-03,과학,지층과 화석,5-6학년군,"화석의 생성 과정을 모형으로 설명하고, 지구의 과거 생물과 환경을 추리하는 활동을 통해 화석의 가치를 인식할 수 있다."
6과02-01,과학,빛의 성질,5-6학년군,"물체를 보기 위해서 빛이 있어야 함을 알고, 빛의 성질에 대해 흥미를 느낄 수 있다."
6과02-02,과학,빛의 성질,5-6학년군,"빛이 나아가는 현상을 관찰하여 빛이 직진, 반사, 굴절하는 성질이 있음을 말할 수 있다."
6과02-03,과학,빛의 성질,5-6학년군,거울과 렌즈의 쓰임새를 조사하고 거울이나 렌즈를 이용한 창의적인 장치를 만들 수 있다.
6과03-01,과학,용해와 용액,5-6학년군,"용해 현상의 의미를 알고, 용질의 종류와 물의 온도에 따라 물에 녹는 용질의 양이 달라짐을 비교할 수 있다."
6과03-02,과학,용해와 용액,5-6학년군,"용질이나 용매의 양에 따라 용액의 진하기가 달라짐을 관찰하고, 용액의 상대적인 진하기를 비교할 수 있다."
6과03-03,과학,용해와 용액,5-6학년군,일상생활에서 용액이 쓰이는 사례를 조사하여 용액의 필요성을 알리는 자료를 만들고 공유할 수 있다.
6과04-01,과학,우리 몸의 구조와 기능,5-6학년군,뼈와 근육의 생김새를 관찰하고 모형을 만들어 몸이 움직이는 원리를 설명할 수 있다.
6과04-02,과학,우리 몸의 구조와 기능,5-6학년군,"소화, 순환, 호흡, 배설 기관의 구조와 기능을 알아보고, 우리 몸의 여러 기관이 서로 관련되어 있음을 설명할 수 있다."
6과04-03,과학,우리 몸의 구조와 기능,5-6학년군,"우리 몸의 여러 기관과 관련된 질병을 조사하고, 건강을 유지하기 위한 생활 방식을 실천할 수 있다."
6과05-01,과학,혼합물의 분리,5-6학년군,알갱이의 크기가 다른 고체 혼합물과 골고루 섞이지 않는 액체 혼합물을 분리할 수 있다.
6과05-02,과학,혼합물의 분리,5-6학년군,"물에 용해되는 성질을 이용하여 고체 혼합물을 분리하고, 물을 증발시켜 물에 용해된 고체 물질을 분리할 수 있다."
6과05-03,과학,혼합물의 분리,5-6학년군,지속가능한 삶을 위한 과학기술 사례 중 혼합물의 분리를 이용한 장치를 조사하여 공유할 수 있다.
6과06-01,과학,날씨와 우리 생활,5-6학년군,"기상 요소를 조사하고, 날씨가 우리 생활에 주는 영향을 인식할 수 있다."
6과06-02,과학,날씨와 우리 생활,5-6학년군,"이슬, 안개, 구름을 관찰하고, 공통점과 차이점을 찾을 수 있다."
6과06-03,과학,날씨와 우리 생활,5-6학년군,고기압과 저기압의 분포에 따른 날씨의 특징을 기상 요소로 표현할 수 있다.
6과07-01,과학,열과 우리 생활,5-6학년군,"물체의 따뜻하고 차가운 정도를 온도로 표현함을 알고, 온도계를 이용하여 온도를 측정할 수 있다."
6과07-02,과학,열과 우리 생활,5-6학년군,온도가 다른 두 물체가 접촉했을 때 두 물체의 온도 변화를 관찰하고 그 원인을 추리할 수 있다.
6과07-03,과학,열과 우리 생활,5-6학년군,주위에서 열의 이동으로 나타나는 현상을 관찰하여 열의 이동 방식이 다양함을 설명할 수 있다.
6과07-04,과학,열과 우리 생활,5-6학년군,"일상생활에서 단열을 이용하는 사례를 조사하고, 온도를 오랫동안 일정하게 유지할 수 있는 장치를 창의적으로 만들 수 있다."
6과08-01,과학,자원과 에너지,5-6학년군,"우리가 생활에서 이용하는 다양한 자원을 조사하고, 자원의 유한함을 설명할 수 있다."
6과08-02,과학,자원과 에너지,5-6학년군,"재생에너지의 종류를 조사하고, 에너지를 지속가능하게 이용하는 방법에 관심을 갖는다."
6과08-03,과학,자원과 에너지,5-6학년군,"자원과 에너지의 효율적인 이용 방법에 대해 탐색하고, 생활 속에서 실천할 수 있는 다양한 사례를 공유할 수 있다."
6과09-01,과학,산과 염기,5-6학년군,여러 가지 용액에 지시약을 넣었을 때의 변화를 관찰하여 용액을 산성 용액과 염기성 용액으로 분류할 수 있다.
6과09-02,과학,산과 염기,5-6학년군,"산성 용액과 염기성 용액의 성질을 관찰하고, 산성 용액과 염기성 용액을 섞을 때 용액의 성질 변화를 실험을 통해 추론할 수 있다."
6과09-03,과학,산과 염기,5-6학년군,우리 주변에서 산성 용액과 염기성 용액을 이용하는 예를 찾아서 설명할 수 있다.
6과09-04,과학,산과 염기,5-6학년군,산성화로 인한 환경의 피해 사례를 소개하는 자료를 만들고 공유할 수 있다.
6과10-01,과학,물체의 운동,5-6학년군,운동하는 물체는 시간에 따라 위치가 변화함을 알고 그 변화를 표현할 수 있다.
6과10-02,과학,물체의 운동,5-6학년군,물체의 이동 거리와 걸린 시간을 측정하여 속력을 구하고 빠르기를 비교할 수 있다.
6과10-03,과학,물체의 운동,5-6학년군,속력과 관련된 안전 수칙과 안전장치를 조사한 결과를 공유하고 일상생활에서 교통안전을 실천할 수 있다.
6과11-01,과학,식물의 구조와 기능,5-6학년군,생물을 이루고 있는 기본 단위인 세포를 현미경으로 관찰할 수 있다.
6과11-02,과학,식물의 구조와 기능,5-6학년군,"식물의 각 기관의 구조를 관찰하고, 기능을 알아보는 실험을 수행하여 식물 각 기관의 구조와 기능을 설명할 수 있다."
6과11-03,과학,식물의 구조와 기능,5-6학년군,여러 가지 식물의 특징을 설명하는 자료를 만들어 공유할 수 있다.
6과12-01,과학,지구의 운동,5-6학년군,하루 동안 태양과 별을 관찰하여 위치 변화의 규칙성을 찾을 수 있다.
6과12-02,과학,지구의 운동,5-6학년군,"지구의 자전을 알고, 낮과 밤이 생기는 이유를 설명할 수 있다."
6과12-03,과학,지구의 운동,5-6학년군,"지구의 공전을 알고, 계절에 따라 달라지는 별자리를 관찰할 수 있다."
6과13-01,과학,계절의 변화,5-6학년군,"태양 고도 측정기로 하루 동안 태양 고도, 그림자 길이, 기온을 측정하여 이들의 관계를 찾을 수 있다."
6과13-02,과학,계절의 변화,5-6학년군,계절에 따른 태양의 남중 고도와 낮의 길이 사이의 관계를 자료에 근거하여 추론할 수 있다.
6과13-03,과학,계절의 변화,5-6학년군,계절 변화의 원인을 지구의 자전축이 기울어진 채 공전하는 것으로 설명할 수 있다.
6과14-01,과학,물질의 연소,5-6학년군,물질의 성질이 달라지는 변화와 달라지지 않는 변화를 관찰하여 비교할 수 있다.
6과14-02,과학,물질의 연소,5-6학년군,"물질이 연소할 때 나타나는 공통적인 현상을 관찰하고, 연소의 조건을 찾을 수 있다."
6과14-03,과학,물질의 연소,5-6학년군,연소 전과 후의 물질을 비교하여 연소 과정에서 물질의 성질이 달라짐을 설명할 수 있다.
6과14-04,과학,물질의 연소,5-6학년군,연소 과정에서 생성되는 물질로 인한 생태계의 피해 사례를 수집하고 분석하여 해결책을 제안하고 공유할 수 있다.
6과15-01,과학,전기의 이용,5-6학년군,"전지와 전구, 전선을 연결하여 전구에 불을 켜보고, 불이 켜지는 회로의 특징을 말할 수 있다."
6과15-02,과학,전기의 이용,5-6학년군,전지 한 개를 연결한 전기 회로와 전지 두 개를 직렬연결한 전기 회로의 특징을 비교할 수 있다.
6과15-03,과학,전기의 이용,5-6학년군,"전자석을 만들어 전자석의 성질을 탐색하고, 일상생활에서 전자석이 사용되는 예를 조사할 수 있다."
6과15-04,과학,전기의 이용,5-6학년군,전기를 효율적이고 안전하게 사용하는 방법을 조사하여 실천 계획을 세우고 일상생활에서 실천할 수 있다.
6과16-01,과학,과학과 나의 진로,5-6학년군,"미래 사회에 일어날 수 있는 문제를 조사하고, 문제를 해결하는 데 과학이 기여할 수 있는 방법을 토의할 수 있다."
6과16-02,과학,과학과 나의 진로,5-6학년군,"다양한 진로가 과학과 관련됨을 알고, 자신의 진로를 과학과 관련지어 설명할 수 있다."
6국01-01,국어,듣기·말하기,5-6학년군,대화에서 생략된 내용을 추론하며 듣는다.
6국01-02,국어,듣기·말하기,5-6학년군,주장을 파악하고 이유나 근거가 타당한지 평가하며 듣는다.
6국01-03,국어,듣기·말하기,5-6학년군,주제와 관련하여 궁금한 내용을 질문하며 적극적으로 듣고 말한다.
6국01-04,국어,듣기·말하기,5-6학년군,면담의 절차를 이해하고 상대와 매체를 고려하여 면담한다.
6국01-05,국어,듣기·말하기,5-6학년군,자료를 선별하여 핵심 정보를 중심으로 내용을 구성하고 매체를 활용하여 발표한다.
6국01-06,국어,듣기·말하기,5-6학년군,토의에 협력적으로 참여하며 서로의 의견을 비교하고 조정한다.
6국01-07,국어,듣기·말하기,5-6학년군,절차와 규칙을 지키며 타당한 이유와 근거를 제시하며 토론한다.
6국02-01,국어,읽기,5-6학년군,글의 구조를 고려하며 주제나 주장을 파악하고 글 내용을 요약한다.
6국02-02,국어,읽기,5-6학년군,글에서 생략된 내용이나 함축된 표현을 문맥을 고려하여 추론한다.
6국02-03,국어,읽기,5-6학년군,글이나 자료를 읽고 내용의 타당성과 표현의 적절성을 평가한다.
6국02-04,국어,읽기,5-6학년군,문제 상황과 관련된 다양한 관점의 글을 읽고 이를 문제 해결에 활용한다.
6국02-05,국어,읽기,5-6학년군,긍정적인 읽기 동기를 형성하고 적극적으로 읽기에 참여하는 태도를 기른다.
6국03-01,국어,쓰기,5-6학년군,알맞은 내용을 선정하여 대상의 특성이 나타나게 설명하는 글을 쓴다.
6국03-02,국어,쓰기,5-6학년군,적절한 근거를 사용하고 인용의 출처를 밝히며 주장하는 글을 쓴다.
6국03-03,국어,쓰기,5-6학년군,체험한 일에 대한 감상을 나타내는 글을 쓴다.
6국03-04,국어,쓰기,5-6학년군,독자와 매체를 고려하여 내용을 생성하고 표현하며 글을 쓴다.
6국03-05,국어,쓰기,5-6학년군,"쓰기 과정을 점검·조정하며 글을 쓰고, 글 전체를 대상으로 통일성 있게 고쳐 쓴다."
6국03-06,국어,쓰기,5-6학년군,쓰기에 적극적으로 참여하며 자신의 글을 독자와 공유하는 태도를 지닌다.
6국04-01,국어,문법,5-6학년군,음성 언어 및 문자 언어의 특성을 이해하고 다양한 매체 자료에서 표현 효과를 평가한다.
6국04-02,국어,문법,5-6학년군,표준어와 방언의 기능을 파악하고 언어 공동체와 국어생활과의 관계를 이해한다.
6국04-03,국어,문법,5-6학년군,고유어와 관용 표현의 쓰임과 가치를 이해하고 상황에 맞게 표현한다.
6국04-04,국어,문법,5-6학년군,문장 성분을 이해하고 호응 관계가 올바른 문장을 구성한다.
6국04-05,국어,문법,5-6학년군,글과 담화에 쓰인 시간 표현을 이해하고 상황에 맞게 표현한다.
6국04-06,국어,문법,5-6학년군,"글과 담화에 쓰인 단어 및 문장, 띄어쓰기를 민감하게 살펴 바르게 고치는 태도를 지닌다."
6국05-01,국어,문학,5-6학년군,작가의 의도를 생각하며 작품을 읽는다.
6국05-02,국어,문학,5-6학년군,비유적 표현의 효과에 유의하여 작품을 감상한다.
6국05-03,국어,문학,5-6학년군,"소설이나 극을 읽고 인물, 사건, 배경을 파악한다."
6국05-04,국어,문학,5-6학년군,인상적인 부분을 중심으로 작품에 대한 의견을 나눈다.
6국05-05,국어,문학,5-6학년군,"자신의 경험을 시, 소설, 극, 수필 등 적절한 갈래로 표현한다."
6국05-06,국어,문학,5-6학년군,작품을 읽고 자신의 삶과 연관 지어 성찰하는 태도를 지닌다.
6국06-01,국어,매체,5-6학년군,정보 검색 도구를 활용하여 자신의 목적에 맞는 매체 자료를 찾는다.
6국06-02,국어,매체,5-6학년군,뉴스 및 각종 정보 매체 자료의 신뢰성을 평가한다.
6국06-03,국어,매체,5-6학년군,적합한 양식과 수용자의 반응을 고려하여 복합양식 매체 자료를 제작하고 공유한다.
6국06-04,국어,매체,5-6학년군,자신의 매체 이용 양상에 대해 성찰한다.
6도01-01,도덕,자신과의 관계,5-6학년군,자주적인 삶에 대한 이해를 바탕으로 자신의 생활계획을 세우고 실천하여 주체적인 삶의 태도를 기른다.
6도01-02,도덕,자신과의 관계,5-6학년군,생활 습관에 대한 성찰을 통해 자기 생활을 점검하고 올바른 계획을 세워 이를 실천한다.
6도01-03,도덕,자신과의 관계,5-6학년군,자기가 하고 싶은 일을 선택할 때 도덕적 고려의 필요성을 알고 자신의 특기와 적성을 탐색하여 진로계획을 수립한다.
6도02-01,도덕,타인과의 관계,5-6학년군,"봉사의 의미와 중요성을 이해하고, 타인이 처한 상황과 환경에 대한 주의 깊은 관심을 바탕으로 봉사를 실천한다."
6도02-02,도덕,타인과의 관계,5-6학년군,"편견이 발생하는 이유를 탐색하여 해결 방안을 살펴보고, 다양성 존중을 바탕으로 다른 사람과 올바른 관계를 맺기 위한 실천 방안을 탐구한다."
6도02-03,도덕,타인과의 관계,5-6학년군,인간과 인공지능 로봇 간의 다양한 관계를 파악하고 도덕에 기반을 둔 관계 형성의 필요성을 탐구한다.
6도03-01,도덕,사회·공동체과의 관계,5-6학년군,인권과 관련된 다양한 사례를 살펴보고 인권에 관한 감수성을 길러 이를 실천하려는 의지를 함양한다.
6도03-02,도덕,사회·공동체과의 관계,5-6학년군,정의에 관한 관심을 토대로 공동체 규칙의 중요성을 살펴보고 직접 공정한 규칙을 고안하며 기초적인 시민의식을 기른다.
