code,subject,domain,grade,description
4과01-01,과학,힘과 우리 생활,3-4학년군,"일상생활에서 힘과 관련된 현상에 흥미를 갖고, 물체를 밀거나 당길 때 나타나는 현상을 관찰할 수 있다."
4과01-02,과학,힘과 우리 생활,3-4학년군,수평잡기 활동을 통해 물체의 무게를 비교할 수 있다.
4과01-03,과학,힘과 우리 생활,3-4학년군,"무게를 정확히 비교하기 위해서는 저울이 필요함을 알고, 저울을 사용해 무게를 비교할 수 있다."
4과01-04,과학,힘과 우리 생활,3-4학년군,"지레, 빗면과 같은 도구를 이용하면 물체를 들어 올릴 때 드는 힘의 크기가 달라짐을 알고, 도구가 일상생활에서 어떻게 쓰이는지 조사하여 공유할 수 있다."
4과02-01,과학,동물의 생활,3-4학년군,여러 가지 동물을 관찰하여 특징에 따라 동물을 분류할 수 있다.
4과02-02,과학,동물의 생활,3-4학년군,다양한 환경에 서식하는 동물을 조사하여 동물의 생김새와 생활 방식이 환경과 관련되어 있음을 설명할 수 있다.
4과02-03,과학,동물의 생활,3-4학년군,동물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.
4과03-01,과학,식물의 생활,3-4학년군,여러 가지 식물을 관찰하여 특징에 따라 식물을 분류할 수 있다.
4과03-02,과학,식물의 생활,3-4학년군,다양한 환경에 서식하는 식물을 조사하여 식물의 생김새와 생활 방식이 환경과 관련되어 있음을 설명할 수 있다.
4과03-03,과학,식물의 생활,3-4학년군,식물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.
4과04-01,과학,생물의 한살이,3-4학년군,"동물의 한살이를 직접 관찰하고, 관찰한 내용을 글과 그림으로 표현할 수 있다."
4과04-02,과학,생물의 한살이,3-4학년군,식물이 자라는 데 필요한 조건을 찾는 실험을 설계하여 수행할 수 있다.
4과04-03,과학,생물의 한살이,3-4학년군,생물의 한살이 과정을 조사하여 생물에 따라 한살이의 유형이 다양함을 소개하는 자료를 만들어 공유할 수 있다.
4과05-01,과학,물체와 물질,3-4학년군,"물체를 이루는 여러 가지 물질의 성질을 비교하고, 물질의 종류에 따라 물체를 분류할 수 있다."
4과05-02,과학,물체와 물질,3-4학년군,"물질의 세 가지 상태인 고체, 액체, 기체의 성질을 관찰하여 비교할 수 있다."
4과05-03,과학,물체와 물질,3-4학년군,다양한 물질의 성질을 이용하여 쓰임새 있는 물체를 설계할 수 있다.
4과06-01,과학,지구와 바다,3-4학년군,"지구가 대기로 둘러싸여 있음을 알고, 지구 표면을 구성하는 육지와 바다의 특징을 비교할 수 있다."
4과06-02,과학,지구와 바다,3-4학년군,"바닷물의 특징을 육지의 물과 비교하고, 바닷가에서 볼 수 있는 다양한 지형을 조사할 수 있다."
4과06-03,과학,지구와 바다,3-4학년군,"밀물과 썰물의 차이를 알고, 갯벌의 가치와 보전의 필요성을 설득･홍보할 수 있다."
4과07-01,과학,소리의 성질,3-4학년군,"여러 가지 물체를 이용하여 소리를 내보고, 소리가 나는 물체는 떨림이 있음을 설명할 수 있다."
4과07-02,과학,소리의 성질,3-4학년군,"큰 소리와 작은 소리, 높은 소리와 낮은 소리를 구분하고, 세기와 높낮이가 다른 소리를 낼 수 있다."
4과07-03,과학,소리의 성질,3-4학년군,"여러 가지 물질을 통하여 소리가 전달되는 것을 관찰하고, 소음을 줄이는 방법을 찾아 일상생활에서 실천할 수 있다."
4과08-01,과학,감염병과 건강한 생활,3-4학년군,"생활 속 감염병의 사례를 알고, 다양한 질병과 그 위험성에 대해 토의할 수 있다."
4과08-02,과학,감염병과 건강한 생활,3-4학년군,"감염병으로부터 안전한 사회에 관심을 가지고, 여러 감염 과정을 통해 생활 습관과 감염병 유행과의 연관성을 설명할 수 있다."
