standard_code,level,variant_no,template_text
4과01-01,매우잘함,1,무거운 물체와 가벼운 물체를 밀거나 당길 때 드는 힘의 크기를 정확히 비교하여 설명함.
4과01-01,매우잘함,2,힘과 관련된 현상에 흥미를 가지고 물체의 무게에 따른 힘의 크기 차이를 구체적으로 설명함.
4과01-01,잘함,1,물체를 밀거나 당길 때 나타나는 현상에 흥미를 가지고 이를 대체로 관찰함.
4과01-01,잘함,2,힘과 관련된 현상에 관심을 가지고 물체를 밀고 당기는 상황을 대략적으로 관찰함.
4과01-01,보통,1,물체를 밀고 당기는 것과 같은 힘 관련 현상에 조금씩 흥미를 가져감.
4과01-01,보통,2,힘과 관련된 현상에 관심을 보이려고 노력함.
4과01-02,매우잘함,1,수평잡기 활동을 통해 무게가 같거나 다른 여러 물체의 무게를 정확히 비교함.
4과01-02,매우잘함,2,수평잡기 원리를 구체적으로 적용하여 다양한 물체의 무게 차이를 비교함.
4과01-02,잘함,1,수평잡기 활동에서 기울어지는 현상을 관찰하여 더 무거운 물체를 대체로 찾아냄.
4과01-02,잘함,2,수평잡기 활동을 통해 두 물체의 무게 차이를 대략적으로 비교함.
4과01-02,보통,1,물체마다 무게가 서로 다르다는 것을 조금씩 알아감.
4과01-02,보통,2,무게의 의미를 이해하려고 노력함.
4과01-03,매우잘함,1,"저울의 필요성을 정확히 알고, 저울을 사용해 여러 물체의 무게를 비교하며 과학의 유용성을 인식함."
4과01-03,매우잘함,2,저울을 이용해 다양한 물체의 무게를 구체적으로 비교하고 저울 사용의 필요성을 설명함.
4과01-03,잘함,1,"저울의 필요성을 알고, 저울을 사용해 물체의 무게를 대체로 측정함."
4과01-03,잘함,2,저울을 사용하여 물체의 무게를 대략적으로 측정함.
4과01-03,보통,1,일상생활에서 저울이 무게 측정에 사용됨을 조금씩 알아감.
4과01-03,보통,2,저울의 쓰임에 관심을 보임.
4과01-04,매우잘함,1,"지레와 빗면 같은 도구를 이용하면 작은 힘으로 물체를 들 수 있음을 정확히 알고, 도구 활용 사례를 조사하여 공유하며 과학적 유용성을 인식함."
4과01-04,매우잘함,2,도구를 이용할 때 힘의 크기가 달라짐을 구체적인 예로 설명하고 일상생활 속 활용 사례를 폭넓게 조사함.
4과01-04,잘함,1,"지레와 빗면을 사용하면 작은 힘으로 물체를 들 수 있다는 사실을 알고, 도구가 사용되는 예를 대체로 조사함."
4과01-04,잘함,2,도구를 이용하면 힘의 크기가 달라짐을 이해하고 생활 속 사용 예를 대략적으로 조사함.
4과01-04,보통,1,물체를 들어 올릴 때 지레와 빗면 같은 도구가 사용되고 있음을 조금씩 알아감.
4과01-04,보통,2,도구가 힘을 덜 들이는 데 쓰인다는 것에 관심을 보임.
4과02-01,매우잘함,1,여러 가지 동물을 관찰하고 특징에 따라 분류 기준을 정확히 세워 동물을 분류함.
4과02-01,매우잘함,2,동물의 공통점과 차이점을 구체적으로 파악하여 스스로 정한 기준으로 분류함.
4과02-01,잘함,1,여러 가지 동물을 관찰하여 공통된 특징과 구별되는 특징을 대체로 말함.
4과02-01,잘함,2,동물들 사이의 공통점과 차이점을 대략적으로 찾아 말함.
4과02-01,보통,1,여러 가지 동물을 관찰하여 그 특징을 조금씩 말해감.
4과02-01,보통,2,동물의 겉모습이나 특징에 관심을 보임.
4과02-02,매우잘함,1,다양한 환경에 서식하는 동물을 조사하여 생김새와 생활 방식이 서식 환경과 관련되어 있음을 구체적으로 설명함.
4과02-02,매우잘함,2,환경별 동물의 적응 특징을 정확히 조사하여 환경과의 관련성을 논리적으로 설명함.
4과02-02,잘함,1,다양한 환경에 따라 동물의 생김새와 생활 방식이 다름을 대체로 발표함.
4과02-02,잘함,2,환경에 따른 동물의 생김새 차이를 대략적으로 조사하여 발표함.
4과02-02,보통,1,다양한 환경에 사는 동물의 생김새를 조금씩 말해감.
4과02-02,보통,2,환경에 따라 사는 동물이 다르다는 것에 관심을 보임.
4과02-03,매우잘함,1,동물의 특징을 활용하여 생활용품을 독창적인 아이디어로 설계하고 동료와 협력적으로 소통함.
4과02-03,매우잘함,2,동물의 특징을 구체적으로 적용한 생활용품을 설계하고 그 원리를 명확히 공유함.
4과02-03,잘함,1,동물의 특징을 이용하여 생활용품을 설계하고 대체로 발표함.
4과02-03,잘함,2,동물의 특징을 반영한 생활용품 아이디어를 대략적으로 구상하여 발표함.
4과02-03,보통,1,동물의 특징을 이용해 설계한 생활용품을 조금씩 말해감.
4과02-03,보통,2,동물의 특징을 생활용품에 적용하는 활동에 관심을 보임.
4과03-01,매우잘함,1,여러 가지 식물을 관찰하고 특징에 따라 분류 기준을 정확히 세워 식물을 분류함.
4과03-01,매우잘함,2,식물의 공통점과 차이점을 구체적으로 파악하여 스스로 정한 기준으로 분류함.
4과03-01,잘함,1,여러 가지 식물을 관찰하여 공통된 특징과 구별되는 특징을 대체로 말함.
4과03-01,잘함,2,식물들 사이의 공통점과 차이점을 대략적으로 찾아 말함.
4과03-01,보통,1,여러 가지 식물을 관찰하여 그 특징을 조금씩 말해감.
4과03-01,보통,2,식물의 생김새나 특징에 관심을 보임.
4과03-02,매우잘함,1,다양한 환경에 서식하는 식물을 조사하여 생김새와 생활 방식이 서식 환경과 관련되어 있음을 구체적으로 설명함.
4과03-02,매우잘함,2,환경별 식물의 적응 특징을 정확히 조사하여 환경과의 관련성을 논리적으로 설명함.
4과03-02,잘함,1,다양한 환경에 따라 식물의 생김새와 생활 방식이 다름을 대체로 발표함.
4과03-02,잘함,2,환경에 따른 식물의 생김새 차이를 대략적으로 조사하여 발표함.
4과03-02,보통,1,다양한 환경에 서식하는 식물의 생김새를 조금씩 말해감.
4과03-02,보통,2,환경에 따라 자라는 식물이 다르다는 것에 관심을 보임.
4과03-03,매우잘함,1,식물의 특징을 활용하여 생활용품을 독창적인 아이디어로 설계하고 동료와 협력적으로 소통함.
4과03-03,매우잘함,2,식물의 특징을 구체적으로 적용한 생활용품을 설계하고 그 원리를 명확히 공유함.
4과03-03,잘함,1,식물의 특징을 이용하여 생활용품을 설계하고 대체로 발표함.
4과03-03,잘함,2,식물의 특징을 반영한 생활용품 아이디어를 대략적으로 구상하여 발표함.
4과03-03,보통,1,식물의 특징을 이용해 설계한 생활용품을 조금씩 말해감.
4과03-03,보통,2,식물의 특징을 생활용품에 적용하는 활동에 관심을 보임.
4과04-01,매우잘함,1,동물을 직접 기르면서 한살이를 관찰하고 그 내용을 글과 그림으로 구체적으로 표현하여 관찰 보고서를 작성함.
4과04-01,매우잘함,2,동물의 한살이 과정을 정확히 관찰하고 단계별 변화를 글과 그림으로 상세히 기록함.
4과04-01,잘함,1,곤충의 한살이를 관찰하여 곤충의 모습이 달라짐을 대체로 말함.
4과04-01,잘함,2,동물의 한살이 과정에서 나타나는 변화를 대략적으로 관찰하여 표현함.
4과04-01,보통,1,곤충의 한살이를 조금씩 관찰해감.
4과04-01,보통,2,동물의 자라는 과정을 관찰하는 활동에 관심을 보임.
4과04-02,매우잘함,1,씨가 싹 트거나 식물이 자라는 데 필요한 조건을 찾는 실험을 설계하여 수행하고 결과를 정확히 설명함.
4과04-02,매우잘함,2,식물의 생장 조건을 밝히는 실험을 구체적으로 계획하고 수행하여 결론을 도출함.
4과04-02,잘함,1,식물이 자라는 데 필요한 조건을 찾는 실험을 대체로 설계함.
4과04-02,잘함,2,식물 생장에 필요한 조건을 확인하는 실험을 대략적으로 계획함.
4과04-02,보통,1,식물이 자라는 데 필요한 조건을 조금씩 말해감.
4과04-02,보통,2,식물이 자라는 조건을 찾는 실험 활동에 관심을 보임.
4과04-03,매우잘함,1,여러 생물의 한살이 과정을 조사하여 한살이 유형이 다양함을 정확히 이해하고 소개 자료를 만들어 공유함.
4과04-03,매우잘함,2,생물별 한살이 유형의 차이를 구체적으로 비교하여 소개 자료를 완성하고 공유함.
4과04-03,잘함,1,여러 생물의 한살이 과정을 조사하여 한살이 유형이 다양함을 대체로 말함.
4과04-03,잘함,2,생물에 따라 한살이 유형이 다르다는 것을 대략적으로 조사하여 정리함.
4과04-03,보통,1,여러 생물의 한살이 과정을 조금씩 조사해감.
4과04-03,보통,2,생물의 한살이 유형에 관심을 보임.
4과05-01,매우잘함,1,물체를 이루는 여러 물질의 성질을 정확히 비교하여 설명하고 물질의 종류에 따라 물체를 분류함.
4과05-01,매우잘함,2,물질의 성질 차이를 구체적인 근거로 비교하고 이를 기준으로 물체를 체계적으로 분류함.
4과05-01,잘함,1,물체를 이루는 여러 물질의 성질을 관찰하여 대체로 비교함.
4과05-01,잘함,2,물질의 성질을 대략적으로 관찰하여 물체를 분류함.
4과05-01,보통,1,물체를 이루는 물질이 여러 가지임을 조금씩 알아감.
4과05-01,보통,2,물체를 이루는 물질의 종류에 관심을 보임.
